epoch,selected_records,total_records,training_time,estimated_train_time,time_saved
0,10,2870,40.58528709411621,11647.977396011353,11607.392108917236
1,20,2870,220.3594989776612,31621.588103294373,31401.22860431671
2,30,2870,603.0049290657043,57687.47154728571,57084.46661822001
3,40,2870,219.1579821109772,15724.58521646261,15505.427234351631
4,50,2870,312.93169498443604,17962.27929210663,17649.347597122192
5,60,2870,388.5499217510224,18585.63792375724,18197.08800200621
6,70,2870,453.4945468902588,18593.27642250061,18139.78187561035
0,100,2870,33.62466096878052,965.0277698040009,931.4031088352205
1,198,2870,61.391093015670776,889.8607927018946,828.4696996862239
2,285,2870,89.17761397361755,898.0342179097628,808.8566039361452
3,377,2870,112.58330869674684,857.0665675322637,744.4832588355168
4,467,2870,181.26206183433533,1113.9659902880992,932.7039284537639
